fplId,webName,position,team_fpl_id,team,nowCost,status,chanceOfPlayingNextRound,news,newsAddedAt,removed,form,pointsPerGame,epNext,epThis,expectedGoalsPer90,expectedAssistsPer90,expectedGoalsConcededPer90,defensiveContributionPer90,savesPer90,startsPer90,penaltiesOrder,directFreekicksOrder,cornersOrder,seasonMinutes,seasonStarts,updatedAt
74,Brooks,MID,3,BOU,50,a,100,,2026-08-15 16:30:07.037,f,0.00,0.00,1.50,1.10,0.00,0.00,0.00,0.00,0.00,0.000,,3,4,0,0,2026-08-26 14:15:00.834
75,Christie,MID,3,BOU,50,a,100,,2026-07-24 17:30:10.035,f,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,,6,0,0,2026-08-26 14:15:00.835
76,Tóth.A,MID,3,BOU,50,a,,,,f,1.00,1.00,1.50,1.50,0.00,0.00,1.86,12.00,0.00,0.000,,,,15,0,2026-08-26 14:15:00.836
77,Adli,MID,3,BOU,50,i,0,Unspecified injury - Unknown return date,2026-08-15 16:00:07.59,f,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.837
78,Kroupi.Jr,MID,3,BOU,75,i,0,Foot injury - Unknown return date,2026-07-29 17:30:09.796,f,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,1,,,0,0,2026-08-26 14:15:00.838
79,Evanilson,FWD,3,BOU,60,a,,,,f,4.00,4.00,2.00,2.00,0.00,0.26,2.36,9.73,0.00,1.220,,,,74,1,2026-08-26 14:15:00.839
80,Enes Ünal,FWD,3,BOU,55,u,0,Has joined Getafe permanently,2026-08-14 14:14:21.881,f,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.84
81,Rodríguez,FWD,3,BOU,60,a,100,,2026-08-15 16:30:07.054,f,0.00,0.00,2.00,1.50,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.841
82,Kelleher,GKP,4,BRE,50,a,,,,f,7.00,7.00,2.60,2.60,0.00,0.01,0.57,0.00,4.00,1.000,,,,90,1,2026-08-26 14:15:00.845
83,Valdimarsson,GKP,4,BRE,45,a,,,,f,0.00,0.00,1.90,1.90,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.846
84,Collins,DEF,4,BRE,55,a,,,,f,6.00,6.00,2.50,2.50,0.34,0.04,0.57,3.00,0.00,1.000,,,,90,1,2026-08-26 14:15:00.848
85,Van den Berg,DEF,4,BRE,50,i,0,Groin injury - Unknown return date,2026-08-15 15:30:06.416,f,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.849
86,Lewis-Potter,MID,4,BRE,55,a,,,,f,10.00,10.00,2.00,2.00,0.77,0.12,0.57,10.00,0.00,1.000,,1,,90,1,2026-08-26 14:15:00.85
87,Ajer,DEF,4,BRE,45,a,,,,f,8.00,8.00,1.70,1.70,0.11,0.02,0.57,10.00,0.00,1.000,,,,90,1,2026-08-26 14:15:00.851
88,Kayode,DEF,4,BRE,45,a,,,,f,13.00,13.00,1.70,1.70,0.60,0.00,0.56,4.80,0.00,1.200,,,,75,1,2026-08-26 14:15:00.852
89,Henry,DEF,4,BRE,45,a,,,,f,0.00,0.00,1.70,1.70,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.853
